"row ID","Mathematik","3","M","BRank_Gesamt","BRank_Arbeitsmarkt","BRank_Bevoelkerung","BRank_Erreichbarkeit","BRank_Sicherheit","BRank_Steuerbelastung","BRank_Versorgung","BRank_Wohnen","Landessprache"
"L-114534-KSSEE_Row43",4.0,4.166666666666667,3.921875,3,3,2,4,1,2,4,4,5.0
"L-114536-KSSEE_Row67",5.0,4.458333333333333,4.8125,3,3,3,3,3,3,3,3,4.0
"L-114539-KSSEE_Row43",5.0,4.791666666666667,4.90625,3,3,2,4,1,2,4,4,4.5
"L-114540-KSSEE_Row38",3.5,4.166666666666667,,2,1,2,5,1,3,1,3,3.5
"L-114541-KSSEE_Row39",5.5,5.125,5.40625,3,1,3,4,1,3,2,4,5.0
"L-114543-KSSEE_Row39",4.5,4.541666666666667,4.75,3,1,3,4,1,3,2,4,5.0
"L-114544-KSSEE_Row39",4.0,4.541666666666667,4.433333333333334,3,1,3,4,1,3,2,4,4.0
"L-114548-KSSEE_Row70",4.0,4.75,4.5625,3,3,3,3,3,3,3,3,5.0
"L-114549-KSSEE_Row6",4.5,4.916666666666667,4.78125,1,1,1,4,1,2,4,3,5.5
"L-114551-KSSEE_Row1",4.5,4.625,4.8125,3,3,3,3,3,3,3,3,4.0
"L-114552-KSSEE_Row39",4.0,4.333333333333333,4.25,3,1,3,4,1,3,2,4,4.5
"L-114553-KSSEE_Row40",5.0,4.666666666666667,4.53125,4,4,2,5,1,3,5,3,4.5
"L-114556-KSSEE_Row6",4.0,4.5,4.3125,1,1,1,4,1,2,4,3,4.0
"L-114557-KSSEE_Row38",3.5,4.25,,2,1,2,5,1,3,1,3,3.5
"L-114559-KSSEE_Row39",4.5,4.423076923076923,,3,1,3,4,1,3,2,4,4.5
"L-114561-KSSEE_Row70",5.0,4.458333333333333,4.21875,3,3,3,3,3,3,3,3,4.0
"L-114573-KSSEE_Row39",4.0,4.923076923076923,4.875,3,1,3,4,1,3,2,4,5.5
"L-114655-KSSEE_Row40",4.5,4.538461538461538,,4,4,2,5,1,3,5,3,5.0
"L-114657-KSSEE_Row40",4.0,4.346153846153846,4.34375,4,4,2,5,1,3,5,3,4.0
"L-114658-KSSEE_Row40",4.5,4.923076923076923,4.6875,4,4,2,5,1,3,5,3,5.5
"L-114659-KSSEE_Row40",4.5,4.961538461538462,,4,4,2,5,1,3,5,3,5.5
"L-114661-KSSEE_Row40",3.5,4.615384615384615,4.78125,4,4,2,5,1,3,5,3,4.5
"L-114662-KSSEE_Row40",5.5,5.038461538461538,4.666666666666667,4,4,2,5,1,3,5,3,4.5
"L-114668-KSSEE_Row39",5.5,5.230769230769231,4.9375,3,1,3,4,1,3,2,4,5.5
"L-114669-KSSEE_Row39",5.5,4.846153846153846,4.96875,3,1,3,4,1,3,2,4,5.0
"L-114671-KSSEE_Row39",5.0,4.346153846153846,4.5625,3,1,3,4,1,3,2,4,4.0
"L-114672-KSSEE_Row39",4.0,4.3076923076923075,4.375,3,1,3,4,1,3,2,4,3.5
"L-114673-KSSEE_Row39",4.0,4.3076923076923075,4.375,3,1,3,4,1,3,2,4,3.5
"L-114674-KSSEE_Row39",6.0,5.423076923076923,5.15625,3,1,3,4,1,3,2,4,5.5
"L-114676-KSSEE_Row21",4.5,4.615384615384615,4.59375,3,3,3,3,3,3,3,3,4.0
"L-114678-KSSEE_Row21",4.0,4.346153846153846,4.46875,3,3,3,3,3,3,3,3,3.5
"L-114680-KSSEE_Row21",3.75,4.0576923076923075,4.125,3,3,3,3,3,3,3,3,4.0
"L-114681-KSSEE_Row21",4.0,4.423076923076923,4.53125,3,3,3,3,3,3,3,3,4.0
"L-114683-KSSEE_Row39",5.5,4.846153846153846,5.25,3,1,3,4,1,3,2,4,4.0
"L-114685-KSSEE_Row38",6.0,5.384615384615385,5.4375,2,1,2,5,1,3,1,3,5.5
"L-114686-KSSEE_Row39",4.0,4.038461538461538,4.59375,3,1,3,4,1,3,2,4,3.5
"L-114688-KSSEE_Row38",5.5,5.3076923076923075,5.4375,2,1,2,5,1,3,1,3,5.5
"L-114690-KSSEE_Row38",4.5,4.461538461538462,4.40625,2,1,2,5,1,3,1,3,4.0
"L-114692-KSSEE_Row38",4.0,4.615384615384615,4.46875,2,1,2,5,1,3,1,3,5.0
"L-114694-KSSEE_Row22",5.0,5.3076923076923075,5.3125,2,3,1,4,1,1,5,1,5.5
"L-114695-KSSEE_Row22",5.0,4.730769230769231,4.966666666666667,2,3,1,4,1,1,5,1,4.5
"L-114697-KSSEE_Row22",5.0,4.6923076923076925,4.6875,2,3,1,4,1,1,5,1,4.5
"L-114698-KSSEE_Row22",6.0,5.153846153846154,4.96875,2,3,1,4,1,1,5,1,4.5
"L-114699-KSSEE_Row22",5.0,4.846153846153846,4.96875,2,3,1,4,1,1,5,1,4.5
"L-114700-KSSEE_Row22",5.5,5.153846153846154,5.21875,2,3,1,4,1,1,5,1,5.0
"L-114702-KSSEE_Row22",4.5,4.423076923076923,4.375,2,3,1,4,1,1,5,1,4.5
"L-114704-KSSEE_Row39",5.0,5.038461538461538,4.8125,3,1,3,4,1,3,2,4,5.0
"L-114706-KSSEE_Row19",5.0,5.115384615384615,5.03125,2,2,5,3,1,3,3,4,5.0
"L-114708-KSSEE_Row39",4.0,4.346153846153846,4.53125,3,1,3,4,1,3,2,4,4.0
"L-114710-KSSEE_Row39",5.0,5.0,5.0625,3,1,3,4,1,3,2,4,4.0
"L-114713-KSSEE_Row39",4.5,4.153846153846154,,3,1,3,4,1,3,2,4,3.5
"L-114715-KSSEE_Row39",3.5,4.3076923076923075,4.40625,3,1,3,4,1,3,2,4,3.5
"L-114716-KSSEE_Row39",4.5,4.423076923076923,4.78125,3,1,3,4,1,3,2,4,4.5
"L-114718-KSSEE_Row39",4.0,4.423076923076923,4.21875,3,1,3,4,1,3,2,4,4.5
