"Name";"X";"Y"
"630592.53805 229993.138";630592.53805;229993.138
"630592.945050001 230053.681";630592.945050001;230053.681
"630593.946049999 229997.581";630593.946049999;229997.581
"630593.96305 229989.44";630593.96305;229989.44
"630596.54905 230051.176";630596.54905;230051.176
"630598.578049999 229986.706";630598.578049999;229986.706
"630599.466049999 230069.682";630599.466049999;230069.682
"630599.776050001 230078.664";630599.776050001;230078.664
"630602.706050001 230004.395";630602.706050001;230004.395
"630603.392050002 230045.778";630603.392050002;230045.778
"630604.107050002 229984.49";630604.107050002;229984.49
"630605.727049999 230011.263";630605.727049999;230011.263
"630609.96105 230017.668";630609.96105;230017.668
"630611.433049999 230035.675";630611.433049999;230035.675
"630616.38205 229976.437";630616.38205;229976.437
"630622.085050002 231570.667";630622.085050002;231570.667
"630628.47205 229972.285";630628.47205;229972.285
"630636.593049999 229973.954";630636.593049999;229973.954
"630642.129050002 229979.016";630642.129050002;229979.016
"630647.561050002 229905.201";630647.561050002;229905.201
"630647.995049998 229858.664";630647.995049998;229858.664
"630648.638050001 229908.773";630648.638050001;229908.773
"630650.918049999 229852.809";630650.918049999;229852.809
"630653.284049999 229850.701";630653.284049999;229850.701
"630653.896049999 229867.446";630653.896049999;229867.446
"630654.254050002 229900.552";630654.254050002;229900.552
"630657.357050002 229984.579";630657.357050002;229984.579
"630658.015050001 229921.754";630658.015050001;229921.754
"630663.173050001 229872.679";630663.173050001;229872.679
"630663.655049998 229940.414";630663.655049998;229940.414
"630663.993050002 229891.034";630663.993050002;229891.034
"630668.476050001 229881.89";630668.476050001;229881.89
"630668.909049999 229984.806";630668.909049999;229984.806
"630669.221050002 229946.022";630669.221050002;229946.022
"630669.513050001 229818.381";630669.513050001;229818.381
"630670.563050002 229812.807";630670.563050002;229812.807
"630676.090050001 229950.751";630676.090050001;229950.751
"630676.341049999 229809.297";630676.341049999;229809.297
"630680.320050001 229975.797";630680.320050001;229975.797
"630681.79205 229962.966";630681.79205;229962.966
"630682.243050002 229780.837";630682.243050002;229780.837
"630683.764049999 229957.028";630683.764049999;229957.028
"630683.797049999 229762.208";630683.797049999;229762.208
"630683.802049998 229776.423";630683.802049998;229776.423
"630683.859049998 229765.119";630683.859049998;229765.119
"630684.20005 229790.103";630684.20005;229790.103
"630694.54205 231553.682";630694.54205;231553.682
"630701.943050001 229751.036";630701.943050001;229751.036
"630710.14105 229749.061";630710.14105;229749.061
"630717.072050001 229746.119";630717.072050001;229746.119
"630732.248050001 229730.81";630732.248050001;229730.81
"630747.440049998 229723.656";630747.440049998;229723.656
"630755.714049999 229714.767";630755.714049999;229714.767
"630776.420049999 229709.424";630776.420049999;229709.424
"630797.399050001 231529.57";630797.399050001;231529.57
"630801.421050001 229701.823";630801.421050001;229701.823
"630803.943050001 231527.718";630803.943050001;231527.718
"630809.783050001 229708.769";630809.783050001;229708.769
"630819.319049999 229713.834";630819.319049999;229713.834
"630829.078049999 229716.016";630829.078049999;229716.016
"630837.55305 229715.42";630837.55305;229715.42
"630843.81005 231516.432";630843.81005;231516.432
"630847.77905 229706.685";630847.77905;229706.685
"630858.35805 229692.553";630858.35805;229692.553
"630871.802049998 229688.794";630871.802049998;229688.794
"630882.592050001 229688.568";630882.592050001;229688.568
"630893.767050002 229689.58";630893.767050002;229689.58
"630904.032049999 229684.379";630904.032049999;229684.379
"630909.559050001 229417.847";630909.559050001;229417.847
"630910.34905 229424.633";630910.34905;229424.633
"630912.571049999 229413.571";630912.571049999;229413.571
"630915.70005 229527.204";630915.70005;229527.204
"630917.230050001 229533.237";630917.230050001;229533.237
"630917.772050001 229521.461";630917.772050001;229521.461
"630919.81005 229445.708";630919.81005;229445.708
"630920.032049999 229407.385";630920.032049999;229407.385
"630920.482050002 229677.612";630920.482050002;229677.612
"630921.92405 229538.339";630921.92405;229538.339
"630924.206050001 229402.614";630924.206050001;229402.614
"630925.08805 229652.582";630925.08805;229652.582
"630926.24605 229395.566";630926.24605;229395.566
"630926.359049998 229646.627";630926.359049998;229646.627
"630926.616050001 229668.598";630926.616050001;229668.598
"630927.11905 229546.062";630927.11905;229546.062
"630927.512049999 229493.985";630927.512049999;229493.985
"630927.618050002 229501.223";630927.618050002;229501.223
"630931.640050001 229386.778";630931.640050001;229386.778
"630932.82705 229641.571";630932.82705;229641.571
"630933.195050001 229379.661";630933.195050001;229379.661
"630933.754050002 229485.231";630933.754050002;229485.231
"630933.89305 229637.488";630933.89305;229637.488
"630936.657049999 229554.887";630936.657049999;229554.887
"630936.85605 229461.449";630936.85605;229461.449
"630938.826049998 229480.808";630938.826049998;229480.808
"630939.466049999 229376.847";630939.466049999;229376.847
"630939.706050001 229626.879";630939.706050001;229626.879
"630940.24605 229471.324";630940.24605;229471.324
"630940.873050001 229600.852";630940.873050001;229600.852
"630943.264049999 229613.728";630943.264049999;229613.728
"630943.75705 229595.261";630943.75705;229595.261
"630947.946049999 229559.692";630947.946049999;229559.692
"630948.010049999 229592.618";630948.010049999;229592.618
"630949.055050001 229310.404";630949.055050001;229310.404
"630949.728050001 229319.18";630949.728050001;229319.18
"630951.184050001 229367.444";630951.184050001;229367.444
"630952.92605 229303.992";630952.92605;229303.992
"630953.09505 229347.544";630953.09505;229347.544
"630953.383049998 229584.705";630953.383049998;229584.705
"630955.71305 229355.921";630955.71305;229355.921
"630955.95905 229574.271";630955.95905;229574.271
"630964.519049998 229295.459";630964.519049998;229295.459
"630973.427049998 229292.03";630973.427049998;229292.03
"630976.843049999 229291.904";630976.843049999;229291.904
"630982.148049999 229295.831";630982.148049999;229295.831
"630989.837049998 231475.096";630989.837049998;231475.096
"630993.506050002 229298.037";630993.506050002;229298.037
"631002.00505 229296.539";631002.00505;229296.539
"631008.438050002 229288.0";631008.438050002;229288.0
"631009.905049998 229274.299";631009.905049998;229274.299
"631011.340050001 229281.495";631011.340050001;229281.495
"631012.725049999 229262.583";631012.725049999;229262.583
"631017.355050001 229217.038";631017.355050001;229217.038
"631018.762049999 229249.494";631018.762049999;229249.494
"631021.75905 229232.209";631021.75905;229232.209
"631027.611049999 229197.167";631027.611049999;229197.167
"631034.47005 229162.365";631034.47005;229162.365
"631038.694049999 229091.732";631038.694049999;229091.732
"631040.74605 229147.428";631040.74605;229147.428
"631052.431049999 229000.655";631052.431049999;229000.655
"631054.056049999 229053.881";631054.056049999;229053.881
"631057.06205 229100.464";631057.06205;229100.464
"631057.194049999 229023.564";631057.194049999;229023.564
"631057.596050002 229133.769";631057.596050002;229133.769
"631064.08805 229044.488";631064.08805;229044.488
"631067.171050001 229033.914";631067.171050001;229033.914
"631067.375050001 229113.992";631067.375050001;229113.992
"631068.682050001 228943.064";631068.682050001;228943.064
"631069.64305 228956.344";631069.64305;228956.344
"631076.396049999 228939.514";631076.396049999;228939.514
"631086.927049998 228965.474";631086.927049998;228965.474
"631087.50705 228977.889";631087.50705;228977.889
"631093.196049999 228938.742";631093.196049999;228938.742
"631099.017050002 228880.065";631099.017050002;228880.065
"631100.061050002 228843.099";631100.061050002;228843.099
"631100.19105 228861.294";631100.19105;228861.294
"631100.398049999 228880.65";631100.398049999;228880.65
"631103.070050001 228881.781";631103.070050001;228881.781
"631104.503049999 228898.299";631104.503049999;228898.299
"631106.580049999 228883.171";631106.580049999;228883.171
"631111.181049999 228902.738";631111.181049999;228902.738
"631112.943050001 228910.563";631112.943050001;228910.563
"631124.975049999 228835.347";631124.975049999;228835.347
"631146.988049999 228846.609";631146.988049999;228846.609
"631157.602049999 228846.801";631157.602049999;228846.801
"631162.565049998 231426.184";631162.565049998;231426.184
"631184.92605 228735.278";631184.92605;228735.278
"631185.502050001 228736.428";631185.502050001;228736.428
"631189.024050001 228743.468";631189.024050001;228743.468
"631189.499049999 228824.622";631189.499049999;228824.622
"631190.128049999 228724.496";631190.128049999;228724.496
"631194.866050001 228799.248";631194.866050001;228799.248
"631196.29005 228761.353";631196.29005;228761.353
"631199.055050001 228788.482";631199.055050001;228788.482
"631209.364050001 228727.77";631209.364050001;228727.77
"631222.443050001 228715.205";631222.443050001;228715.205
"631228.120049998 228699.521";631228.120049998;228699.521
"631232.414050002 228696.678";631232.414050002;228696.678
"631239.607050002 228696.553";631239.607050002;228696.553
"631259.555050001 228708.782";631259.555050001;228708.782
"631271.008049998 228720.291";631271.008049998;228720.291
"631276.94105 228731.052";631276.94105;228731.052
"631284.232050002 228734.33";631284.232050002;228734.33
"631311.419050001 228690.974";631311.419050001;228690.974
"631321.381050002 228498.407";631321.381050002;228498.407
"631321.798050001 228489.427";631321.798050001;228489.427
"631322.122049998 228667.667";631322.122049998;228667.667
"631323.032049999 228593.839";631323.032049999;228593.839
"631324.15405 228557.143";631324.15405;228557.143
"631325.04205 228629.022";631325.04205;228629.022
"631327.094050001 228511.992";631327.094050001;228511.992
"631327.962049998 228621.606";631327.962049998;228621.606
"631329.605050001 228604.03";631329.605050001;228604.03
"631337.657049999 228542.755";631337.657049999;228542.755
"631340.126049999 228526.48";631340.126049999;228526.48
"631341.362050001 228535.015";631341.362050001;228535.015
"631351.84905 228457.891";631351.84905;228457.891
"631362.504050002 228439.226";631362.504050002;228439.226
"631371.093049999 228432.885";631371.093049999;228432.885
"631394.89105 231360.395";631394.89105;231360.395
"631396.740049999 231361.985";631396.740049999;231361.985
"631407.696049999 228422.324";631407.696049999;228422.324
"631413.227049999 228416.93";631413.227049999;228416.93
"631419.02905 231384.232";631419.02905;231384.232
"631421.51605 228354.266";631421.51605;228354.266
"631426.261050001 228373.097";631426.261050001;228373.097
"631438.760049999 228330.258";631438.760049999;228330.258
"631442.620049998 228172.69";631442.620049998;228172.69
"631443.730050001 228141.21";631443.730050001;228141.21
"631444.052049998 228314.455";631444.052049998;228314.455
"631445.649050001 231405.898";631445.649050001;231405.898
"631447.990049999 228185.46";631447.990049999;228185.46
"631449.050050002 228154.07";631449.050050002;228154.07
"631450.43905 228304.446";631450.43905;228304.446
"631457.920049999 228194.43";631457.920049999;228194.43
"631462.45005 228118.07";631462.45005;228118.07
"631463.740049999 228193.15";631463.740049999;228193.15
"631464.903050002 228291.768";631464.903050002;228291.768
"631469.29005 228115.13";631469.29005;228115.13
"631474.282049999 231421.936";631474.282049999;231421.936
"631475.960050002 228193.41";631475.960050002;228193.41
"631476.39305 228281.878";631476.39305;228281.878
"631478.590050001 228116.16";631478.590050001;228116.16
"631482.205049999 228276.84";631482.205049999;228276.84
"631483.853050001 228270.579";631483.853050001;228270.579
"631485.47005 228141.44";631485.47005;228141.44
"631485.910050001 228266.224";631485.910050001;228266.224
"631489.230050001 228265.43";631489.230050001;228265.43
"631496.920049999 228208.28";631496.920049999;228208.28
"631500.250050001 228217.25";631500.250050001;228217.25
"631504.690049998 228236.71";631504.690049998;228236.71
"631504.70005 228093.28";631504.70005;228093.28
"631505.150049999 228249.42";631505.150049999;228249.42
"631505.20005 228155.22";631505.20005;228155.22
"631508.82705 231442.884";631508.82705;231442.884
"631516.225049999 231441.919";631516.225049999;231441.919
"631517.04005 228154.55";631517.04005;228154.55
"631518.22005 228118.37";631518.22005;228118.37
"631521.780049998 228147.93";631521.780049998;228147.93
"631522.140050001 228135.32";631522.140050001;228135.32
"631523.22005 228059.79";631523.22005;228059.79
"631526.859049998 231440.531";631526.859049998;231440.531
"631533.357050002 231443.777";631533.357050002;231443.777
"631535.930050001 228068.28";631535.930050001;228068.28
"631550.97005 228069.64";631550.97005;228069.64
"631567.840050001 228060.54";631567.840050001;228060.54
"631592.070050001 228017.89";631592.070050001;228017.89
"631598.910050001 227995.04";631598.910050001;227995.04
"631612.29005 227964.61";631612.29005;227964.61
"631615.36005 227911.14";631615.36005;227911.14
"631616.390050001 227895.08";631616.390050001;227895.08
"631625.210050002 227919.13";631625.210050002;227919.13
"631628.830049999 227940.06";631628.830049999;227940.06
"631629.54005 227957.53";631629.54005;227957.53
"631635.79005 227874.18";631635.79005;227874.18
"631644.701049998 227836.007";631644.701049998;227836.007
"631646.13005 227849.33";631646.13005;227849.33
"631646.638050001 227832.801";631646.638050001;227832.801
"631652.197050001 227831.322";631652.197050001;227831.322
"631662.84905 227836.003";631662.84905;227836.003
"631675.396049999 227836.915";631675.396049999;227836.915
"631685.738049999 227828.454";631685.738049999;227828.454
"631688.918049999 227818.77";631688.918049999;227818.77
"631693.400049999 227808.968";631693.400049999;227808.968
"631697.82705 227801.766";631697.82705;227801.766
"631706.82305 227796.596";631706.82305;227796.596
"631712.07505 227794.505";631712.07505;227794.505
"631716.05305 229751.243";631716.05305;229751.243
"631716.865049999 227792.757";631716.865049999;227792.757
"631717.997049998 231536.306";631717.997049998;231536.306
"631720.098049998 227790.358";631720.098049998;227790.358
"631726.18505 227770.888";631726.18505;227770.888
"631735.230050001 227761.771";631735.230050001;227761.771
"631735.635049999 229716.046";631735.635049999;229716.046
"631741.22205 227724.847";631741.22205;227724.847
"631741.932050001 229699.409";631741.932050001;229699.409
"631741.989050001 227721.25";631741.989050001;227721.25
"631743.519049998 229827.59";631743.519049998;229827.59
"631744.59705 229811.246";631744.59705;229811.246
"631747.881050002 229842.022";631747.881050002;229842.022
"631748.296050001 227756.129";631748.296050001;227756.129
"631749.280250002 229671.895";631749.280250002;229671.895
"631750.388050001 231552.569";631750.388050001;231552.569
"631750.997049998 229665.467";631750.997049998;229665.467
"631751.764049999 227702.943";631751.764049999;227702.943
"631753.409049999 227708.644";631753.409049999;227708.644
"631756.090050001 229778.405";631756.090050001;229778.405
"631756.497049998 227737.526";631756.497049998;227737.526
"631756.502050001 231555.673";631756.502050001;231555.673
"631757.79005 227752.951";631757.79005;227752.951
"631759.958050001 227700.174";631759.958050001;227700.174
"631760.085050002 227745.321";631760.085050002;227745.321
"631761.53805 229862.938";631761.53805;229862.938
"631768.896049999 229872.894";631768.896049999;229872.894
"631769.23305 229594.126";631769.23305;229594.126
"631779.756050002 227693.635";631779.756050002;227693.635
"631787.302049998 229912.893";631787.302049998;229912.893
"631788.193050001 229898.076";631788.193050001;229898.076
