Gemeindecode;Gemeindename;Einwohner;Veränderung in %;Bevölkerungs-dichte pro km²;Auslaenderanteil;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Rohe Heiratssziffer;Rohe Scheidungsziffer;Rohe Geburtenziffer;Rohe Sterbeziffer;Anzahl Privathaushalte;Durchschnittliche Haushaltsgrösse in Personen;Gesamtfläche in km²;Siedlungsfläche in %;Veränderung in ha;Landwirtschafts-fläche in %;Veränderung in ha;Wald und Gehölze in %;Unproduktive Fläche in %;Beschäftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstätten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Leerwohnungs-ziffer;Neu gebaute Wohnungen pro 1000 Einwohner;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien;Übrige Parteien;;gemäss Strafgesetzbuch (StGB) ;gemäss Betäubungsmittel-gesetz (BetmG);gemäss Ausländergesetz (AuG)
1023;Ballwil;2.649;5,0;302;6,5;24,8;61,8;13,4;7,6;1,5;10,6;6,8;1.049;2,5;8,7;13,3;28;74,6;-27;11,8;0,3;1.005;112;303;590;213;40;48;125;0,89;9,2;0,6;16,6;26,3;5,8;40,3;0,4;5,3;1,1;*;3,6;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1023 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(40,334481062)}]-(b);";20,7;0,4;0,0
1024;Emmen;29.292;4,5;1.438;33,3;20,2;63,1;16,7;5,7;2,6;11,3;8,8;12.711;2,3;20,3;38,2;149;42,2;-139;17,6;2,1;15.601;186;5.860;9.555;1.457;46;274;1.137;1,46;5,4;3,4;16,4;16,4;15,5;36,4;0,9;4,8;1,8;*;7,2;0,2;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1024 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(36,35923543)}]-(b);";56,9;5,7;2,1
1025;Ermensee;865;0,2;152;11,3;25,3;61,6;13,1;3,4;2,3;8,0;6,9;316;2,7;5,7;8,8;20;54,2;-24;36,3;0,7;340;46;140;154;75;16;19;40;0,82;9,1;2,3;23,2;30,3;5,6;29,9;0,5;5,1;0,9;*;4,1;*;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1025 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(29,901547117)}]-(b);";59,4;0,0;2,3
1026;Eschenbach (LU);3.594;4,3;272;10,2;23,6;60,8;15,6;2,5;1,1;9,0;5,6;1.428;2,5;13,2;11,1;37;73,0;-40;14,8;1,1;1.449;146;533;770;260;51;54;155;2,64;3,1;0,5;20,3;32,6;7,4;28,7;0,7;4,7;1,7;*;3,2;0,1;0,8;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1026 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(28,682425759)}]-(b);";50,9;1,7;0,3
1030;Hitzkirch;5.069;7,6;206;14,8;24,3;62,2;13,5;4,6;2,4;9,6;7,0;1.838;2,7;24,6;10,0;52;66,2;-48;23,3;0,4;2.636;344;1.050;1.242;412;107;75;230;0,24;13,2;2,2;15,3;29,4;10,0;32,9;0,5;4,3;1,4;*;5,6;0,0;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1030 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,922469452)}]-(b);";39,9;2,2;0,6
1031;Hochdorf;9.401;8,1;975;20,9;21,3;61,8;16,8;4,6;1,7;9,9;6,9;3.765;2,4;9,6;26,1;67;62,0;-66;10,4;1,5;4.837;131;1.791;2.915;532;30;105;397;0,45;15,6;2,3;17,0;31,3;11,0;26,8;0,4;5,3;1,3;*;5,9;0,2;0,8;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1031 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(26,842532754)}]-(b);";53,4;3,4;1,0
1032;Hohenrain;2.481;4,9;107;6,6;25,7;62,4;11,9;4,4;1,6;10,5;6,0;886;2,8;23,4;6,1;35;74,4;-29;19,1;0,4;1.278;321;189;768;256;110;32;114;0,72;18,9;1,6;9,5;32,2;7,4;39,5;1,1;4,3;1,0;*;4,0;0,0;1,0;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1032 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(39,519034174)}]-(b);";25,7;0,0;0,0
1033;Inwil;2.429;16,0;235;10,3;24,0;64,1;11,9;3,7;0,8;12,0;4,6;958;2,5;10,3;12,4;34;69,6;-37;16,1;1,9;963;133;326;504;194;44;44;106;1,62;6,3;0,7;20,8;26,8;6,7;34,3;0,2;5,6;1,7;*;3,5;0,2;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1033 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,26047511)}]-(b);";38,5;7,1;3,4
1037;Rain;2.533;6,3;269;5,4;26,1;61,5;12,4;4,8;2,4;9,9;4,0;950;2,6;9,4;10,4;30;73,1;-27;16,5;0,0;769;128;235;406;189;47;36;106;0,30;1,2;0,7;25,1;30,7;5,6;28,4;0,6;5,3;1,5;*;2,4;0,0;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1037 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(28,396645289)}]-(b);";26,2;1,6;0,0
1039;Römerswil;1.669;2,6;101;5,3;25,3;60,9;13,8;4,8;3,0;12,6;9,6;608;2,7;16,7;7,9;31;76,0;-26;15,6;0,5;582;239;202;141;154;85;21;48;0,44;9,7;1,0;12,0;31,0;5,6;39,9;1,1;3,7;1,7;*;4,2;0,3;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1039 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(39,877862595)}]-(b);";9,0;0,0;0,6
